UniqueKey,Config,Run,TimeStep,avgUtil,avgGathered,avgHeld,gini,complexity,T1_made,T2_made,T3_made,T4_made,T5_made,T6_made,totalUtil
B02102017222802257120124,dbtest1,002,87,66066,5954,1386.5,0.00231874,19.6646,6.5,1.5,0,0,0,0,132132,
B02102017222802257120124,dbtest1,002,88,65850.5,5904.5,1150,0.0037897,19.6348,10,2.5,0,0,0,0,131701,
B02102017222802257120124,dbtest1,002,89,67222,6217,1503.5,0.00580836,19.6807,4.5,1,0,0,0,0,134444,
B02102017222802257120124,dbtest1,002,90,67405,6262.5,1342,0.00236038,19.6423,8.5,2,0,0,0,0,134810,
B02102017222802257120124,dbtest1,002,91,67538.5,6288.5,1322,0.000592283,19.6142,8,2,0,0,0,0,135077,
B02102017222802257120124,dbtest1,002,92,67354.5,6248,1283,0.00137627,19.6668,9,2,0,0,0,0,134709,
B02102017222802257120124,dbtest1,002,93,68557,6529,1537.5,0.00392382,19.6293,4,1,0,0,0,0,137114,
B02102017222802257120124,dbtest1,002,94,67900.5,6376.5,1180,0.00193022,19.6314,10.5,2.5,0,0,0,0,135801,
B02102017222802257120124,dbtest1,002,95,68381,6487.5,1428,0.00101205,19.6639,6.5,1.5,0,0,0,0,136762,
B02102017222802257120124,dbtest1,002,96,68229,6451.5,1303.5,0.00356283,19.626,8,2,0,0,0,0,136458,
B02102017222802257120124,dbtest1,002,97,68171.5,6437.5,1315.5,0.00458653,19.6009,8.5,2,0,0,0,0,136343,
B02102017222802257120124,dbtest1,002,98,69194.5,6492.5,1370.5,0.000574097,19.8139,7.5,2,0,0,0,0,138389,
B02102017222802257120124,dbtest1,002,99,69108,6292.5,1166.5,0.00423395,20,8,2.5,0,0,0,0,138216,
B02102017222802257120124,dbtest1,002,100,69415,6365,1346.5,.,20,8,2,0,0,0,0,138830,
